id,country,city,title,logo,region,location
832,United States,Malibu,Pepperdine University,https://www.topuniversities.com/sites/default/files/pepperdine-university_592560cf2aeae70239af4c73_small.jpg,North America,0101000020E61000008C4AEA0434AD5DC022FDF675E0044140
834,United States,Denver,University of Denver,https://www.topuniversities.com/sites/default/files/university-of-denver_157_small.jpg,North America,0101000020E6100000933A014D843D5AC0BB270F0BB5D64340
835,United States,Kingston,University of Rhode Island,https://www.topuniversities.com/sites/default/files/university-of-rhode-island-_592560cf2aeae70239af51c7_small.jpg,North America,0101000020E6100000992A1895D4E151C0925CFE43FABD4440
837,United States,Morgantown,West Virginia University,https://www.topuniversities.com/sites/default/files/west-virginia-university_592560cf2aeae70239af531c_small.jpg,North America,0101000020E6100000C58F31772DFD53C0B6F3FDD478D14340
838,United States,Worcester,Clark University,https://www.topuniversities.com/sites/default/files/211223104412am412385CU-logo-200x200-48x48.jpg,North America,0101000020E6100000FFB27BF2B0F451C00E2DB29DEF1F4540
839,United States,Potsdam,Clarkson University,https://www.topuniversities.com/sites/default/files/clarkson-university_592560cf2aeae70239af5181_small.jpg,North America,0101000020E6100000D7A3703D0ABF52C0840D4FAF94554640
842,United States,San Jose,San Jose State University,https://www.topuniversities.com/sites/default/files/san-jose-state-university_592560cf2aeae70239af534d_small.jpg,North America,0101000020E61000005C2041F163785EC042CF66D5E7AA4240
843,United States,St. Louis,Saint Louis University,https://www.topuniversities.com/sites/default/files/saint-louis-university_592560e09988f300e2320cf4_small.jpg,North America,0101000020E61000007AA52C431C8F56C0E10B93A982514340
844,United States,Birmingham,University of Alabama at Birmingham,https://www.topuniversities.com/sites/default/files/university-of-alabama-at-birmingham_2118_small.jpg,North America,0101000020E6100000560E2DB29DB355C04694F6065FC04040
846,United States,Reno,University of Nevada - Reno,https://www.topuniversities.com/sites/default/files/university-of-nevada-reno_592560cf2aeae70239af51c0_small.jpg,North America,0101000020E61000005C2041F163F45DC068B3EA73B5C54340
847,United States,New York City,Baruch College,https://www.topuniversities.com/sites/default/files/baruch-college_592560de9988f300e23206b5_small.jpg,North America,0101000020E6100000575BB1BFEC7E52C0ADFA5C6DC55E4440
848,United States,New York City,CUNY Hunter College,https://www.topuniversities.com/sites/default/files/cuny-hunter-college_5c8208e310ca605c8c654ae5_small.jpg,North America,0101000020E61000002F6EA301BC7D52C0EE7C3F355E624440
849,United States,New York City,Hofstra University,https://www.topuniversities.com/sites/default/files/hofstra-university_1802_small.jpg,North America,0101000020E61000007CF2B0506B6652C008AC1C5A645B4440
850,United States,Manhattan,Kansas State University,https://www.topuniversities.com/sites/default/files/kansas-state-university_1912_small.jpg,North America,0101000020E6100000F0A7C64B372558C0FF21FDF675984340
851,United States,Rolla,Missouri University of Science and Technology,https://www.topuniversities.com/sites/default/files/missouri-university-of-science-and-technology_592560cf2aeae70239af51e4_small.jpg,North America,0101000020E61000003D0AD7A370F156C05F07CE1951FA4240
852,United States,Stillwater,Oklahoma State University,https://www.topuniversities.com/sites/default/files/oklahoma-state-university-_592560cf2aeae70239af5345_small.jpg,North America,0101000020E6100000234A7B832F4458C00EBE30992A104240
853,United States,Boston,Suffolk University,https://www.topuniversities.com/sites/default/files/suffolk-university_592560df9988f300e2320a70_small.jpg,North America,0101000020E6100000006F8104C5C351C0E78C28ED0D2E4540
854,United States,Kansas City,University of Missouri, Kansas City",https://www.topuniversities.com/sites/default/files/university-of-missouri-kansas-city_592560cf2aeae70239af52c8_small.jpg,North America,0101000020E6100000F0A7C64B37A557C0B7D100DE02914340
855,United States,Charlotte,University of North Carolina at Charlotte,https://www.topuniversities.com/sites/default/files/220203050430pm518134university-of-north-carolina-at-charlotte-592560cf2aeae70239af533f-large-48x48.jpg,North America,0101000020E61000001F85EB51B82E54C09EEFA7C64BA74140
856,United States,Villanova,Villanova University,https://www.topuniversities.com/sites/default/files/villanova-university_5c87707a10ca6005203cba93_small.jpg,North America,0101000020E6100000C3D32B6519D652C030BB270F0B054440
857,United States,Berrien Springs,Andrews University,https://www.topuniversities.com/sites/default/files/andrews-university_592560cf2aeae70239af517a_small.jpg,North America,0101000020E61000007B14AE47E19655C009F9A067B3FA4440
858,United States,Auburn,Auburn University,https://www.topuniversities.com/sites/default/files/auburn-university_592560cf2aeae70239af51d3_small.jpg,North America,0101000020E6100000AB3E575BB15F55C0EB73B515FB4B4040
859,United States,Indianapolis,Indiana University–Purdue University Indianapolis,https://www.topuniversities.com/sites/default/files/indiana-universitypurdue-university-indianapolis_592560e09988f300e2320b78_small.jpg,North America,0101000020E61000003A92CB7F488B55C0508D976E12E34340
860,United States,Athens,Ohio University,https://www.topuniversities.com/sites/default/files/ohio-university_1822_small.jpg,North America,0101000020E610000043AD69DE718654C08CDB68006FA94340
861,United States,New York,Pace University - New York,https://www.topuniversities.com/sites/default/files/220114031827pm138683Pace-Wordmark-01-48x48.jpg,North America,0101000020E6100000787AA52C438052C05EBA490C025B4440
862,United States,Camden,Rutgers University–Camden,https://www.topuniversities.com/sites/default/files/rutgers-the-state-university-of-new-jersey-camden_592560cf2aeae70239af58f7_small.jpg,North America,0101000020E61000008126C286A7C752C0A9A44E4013F94340
863,United States,Boston,Simmons University,https://www.topuniversities.com/sites/default/files/simmons-university_5c86599b5c52f35e6a4e2693_small.jpg,North America,0101000020E6100000C364AA6054C651C02497FF907E2B4540
864,United States,New York City,St. John's University: New York City,https://www.topuniversities.com/sites/default/files/st.-johns-university-new-york-city_592560cf2aeae70239af5340_small.jpg,North America,0101000020E6100000BBB88D06F07252C0DCD78173465C4440
865,United States,San Diego,University of San Diego,https://www.topuniversities.com/sites/default/files/university-of-san-diego_592560cf2aeae70239af4ca6_small.jpg,North America,0101000020E6100000956588635D4C5DC03411363CBD624040
866,United States,New York City,Yeshiva University,https://www.topuniversities.com/sites/default/files/the-katz-school-at-yeshiva-university_685_small.jpg,North America,0101000020E61000004FAF9465887B52C0302AA913D06C4440
867,United States,Orange,Chapman University,https://www.topuniversities.com/sites/default/files/chapman-university_592560de9988f300e23206d1_small.jpg,North America,0101000020E6100000029A081B9E765DC0AF25E4839EE54040
868,United States,San Rafael,Dominican University of California,https://www.topuniversities.com/sites/default/files/dominican-university-of-california_592560e79988f300e2321fa7_small.jpg,North America,0101000020E6100000F5B9DA8AFDA15EC0F853E3A59BFC4240
869,United States,Elon,Elon University,https://www.topuniversities.com/sites/default/files/elon-university_5c820ebf5c52f35e994cf5d8_small.jpg,North America,0101000020E6100000F931E6AE25E053C04CA60A46250D4240
870,United States,Baltimore,Loyola University Maryland,https://www.topuniversities.com/sites/default/files/loyola-university-maryland_592560cf2aeae70239af585d_small.jpg,North America,0101000020E6100000A4DFBE0E9C2753C0F8C264AA60AC4340
871,United States,Flagstaff,Northern Arizona University,https://www.topuniversities.com/sites/default/files/northern-arizona-university_592560cf2aeae70239af51a1_small.jpg,North America,0101000020E610000052B81E85EBE95BC00F9C33A2B4974140
872,United States,Fort Lauderdale,Nova Southeastern University,https://www.topuniversities.com/sites/default/files/nova-southeastern-university_592560cf2aeae70239af4c5a_small.jpg,North America,0101000020E610000024B9FC87F40F54C0BF0E9C33A2143A40
873,United States,Memphis,University of Memphis,https://www.topuniversities.com/sites/default/files/university-of-memphis_592560cf2aeae70239af51bd_small.jpg,North America,0101000020E6100000B22E6EA3017C56C09EEFA7C64B8F4140
874,United States,Greensboro,University of North Carolina at Greensboro,https://www.topuniversities.com/sites/default/files/university-of-north-carolina-at-greensboro_592560cf2aeae70239af52b2_small.jpg,North America,0101000020E6100000E4141DC9E5F353C046B6F3FDD4084240
875,United States,Valparaiso,Valparaiso University,https://www.topuniversities.com/sites/default/files/valparaiso-university_5c8770485c52f3060f614126_small.jpg,North America,0101000020E61000003333333333C355C0C1CAA145B6BB4440
